"","Date","Date_MY","Comments","Posts","Users","Total.nonfarm","Total.private","Mining.and.logging","Construction","Manufacturing","Wholesale.trade","Retail.trade","Transportation.and.warehousing","Utilities","Information","Financial.activities","Professional.and.business.services","Education.and.health.services","Leisure.and.hospitality","Other.services","Government","Federal.government","State.government","Local.government"
"1","2013-08-13","2013-8",NA,NA,130,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"2","2013-08-14","2013-8",NA,NA,142,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"3","2013-08-15","2013-8",NA,NA,146,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"4","2013-08-16","2013-8",NA,NA,147,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"5","2013-08-17","2013-8",NA,NA,216,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"6","2013-08-18","2013-8",NA,NA,256,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"7","2013-08-19","2013-8",NA,NA,297,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"8","2013-08-20","2013-8",NA,NA,306,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"9","2013-08-21","2013-8",NA,NA,309,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"10","2013-08-22","2013-8",NA,NA,310,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"11","2013-08-23","2013-8",NA,NA,313,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"12","2013-08-24","2013-8",NA,NA,316,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"13","2013-08-25","2013-8",NA,NA,316,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"14","2013-08-26","2013-8",NA,NA,317,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"15","2013-08-27","2013-8",NA,NA,317,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"16","2013-08-28","2013-8",NA,NA,317,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"17","2013-08-29","2013-8",NA,NA,317,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"18","2013-08-30","2013-8",NA,NA,318,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"19","2013-08-31","2013-8",NA,NA,330,"136,628","114,797",864,"5,878","12,014","5,669.00","15,129.50","4,479.80",551,"2,690","7,903","18,655","21,143","14,327","5,494","21,831","2,754","5,045","14,032"
"20","2013-09-01","2013-9",NA,NA,333,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"21","2013-09-02","2013-9",NA,NA,337,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"22","2013-09-03","2013-9",NA,NA,343,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"23","2013-09-04","2013-9",NA,NA,346,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"24","2013-09-05","2013-9",NA,NA,346,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"25","2013-09-06","2013-9",NA,NA,349,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"26","2013-09-07","2013-9",NA,NA,351,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"27","2013-09-08","2013-9",NA,NA,354,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"28","2013-09-09","2013-9",NA,NA,355,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"29","2013-09-10","2013-9",NA,NA,356,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"30","2013-09-11","2013-9",NA,NA,356,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"31","2013-09-12","2013-9",NA,NA,357,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"32","2013-09-13","2013-9",NA,NA,360,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"33","2013-09-14","2013-9",NA,NA,390,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"34","2013-09-15","2013-9",NA,NA,406,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"35","2013-09-16","2013-9",NA,NA,412,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"36","2013-09-17","2013-9",NA,NA,415,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"37","2013-09-18","2013-9",NA,NA,415,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"38","2013-09-19","2013-9",NA,NA,415,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"39","2013-09-20","2013-9",NA,NA,416,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"40","2013-09-21","2013-9",NA,NA,417,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"41","2013-09-22","2013-9",NA,NA,419,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"42","2013-09-23","2013-9",NA,NA,420,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"43","2013-09-24","2013-9",NA,NA,419,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"44","2013-09-25","2013-9",NA,NA,419,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"45","2013-09-26","2013-9",NA,NA,420,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"46","2013-09-27","2013-9",NA,NA,421,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"47","2013-09-28","2013-9",NA,NA,420,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"48","2013-09-29","2013-9",NA,NA,421,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"49","2013-09-30","2013-9",NA,NA,438,"136,815","114,980",868,"5,910","12,032","5,681.80","15,162.70","4,506.20",551.4,"2,707","7,904","18,683","21,133","14,339","5,502","21,835","2,753","5,050","14,032"
"50","2013-10-01","2013-10",NA,NA,444,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"51","2013-10-02","2013-10",NA,NA,445,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"52","2013-10-03","2013-10",NA,NA,447,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"53","2013-10-04","2013-10",NA,NA,447,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"54","2013-10-05","2013-10",NA,NA,453,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"55","2013-10-06","2013-10",NA,NA,453,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"56","2013-10-07","2013-10",NA,NA,452,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"57","2013-10-08","2013-10",NA,NA,453,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"58","2013-10-09","2013-10",NA,NA,455,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"59","2013-10-10","2013-10",NA,NA,456,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"60","2013-10-11","2013-10",NA,NA,459,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"61","2013-10-12","2013-10",NA,NA,463,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"62","2013-10-13","2013-10",NA,NA,461,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"63","2013-10-14","2013-10",NA,NA,464,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"64","2013-10-15","2013-10",NA,NA,465,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"65","2013-10-16","2013-10",NA,NA,467,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"66","2013-10-17","2013-10",NA,NA,482,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"67","2013-10-18","2013-10",NA,NA,483,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"68","2013-10-19","2013-10",NA,NA,487,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"69","2013-10-20","2013-10",NA,NA,490,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"70","2013-10-21","2013-10",NA,NA,492,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"71","2013-10-22","2013-10",NA,NA,493,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"72","2013-10-23","2013-10",NA,NA,495,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"73","2013-10-24","2013-10",NA,NA,497,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"74","2013-10-25","2013-10",NA,NA,496,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"75","2013-10-26","2013-10",NA,NA,498,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"76","2013-10-27","2013-10",NA,NA,499,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"77","2013-10-28","2013-10",NA,NA,502,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"78","2013-10-29","2013-10",NA,NA,509,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"79","2013-10-30","2013-10",NA,NA,514,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"80","2013-10-31","2013-10",NA,NA,513,"137,040","115,210",870,"5,931","12,056","5,669.90","15,196.30","4,512.20",551.1,"2,719","7,910","18,732","21,158","14,395","5,509","21,830","2,739","5,057","14,034"
"81","2013-11-01","2013-11",NA,NA,513,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"82","2013-11-02","2013-11",NA,NA,513,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"83","2013-11-03","2013-11",NA,NA,514,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"84","2013-11-04","2013-11",NA,NA,513,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"85","2013-11-05","2013-11",NA,NA,513,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"86","2013-11-06","2013-11",NA,NA,514,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"87","2013-11-07","2013-11",NA,NA,514,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"88","2013-11-08","2013-11",NA,NA,514,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"89","2013-11-09","2013-11",NA,NA,514,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"90","2013-11-10","2013-11",NA,NA,513,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"91","2013-11-11","2013-11",NA,NA,515,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"92","2013-11-12","2013-11",NA,NA,515,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"93","2013-11-13","2013-11",NA,NA,517,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"94","2013-11-14","2013-11",NA,NA,519,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"95","2013-11-15","2013-11",NA,NA,521,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"96","2013-11-16","2013-11",NA,NA,523,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"97","2013-11-17","2013-11",NA,NA,524,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"98","2013-11-18","2013-11",NA,NA,527,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"99","2013-11-19","2013-11",NA,NA,528,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"100","2013-11-20","2013-11",NA,NA,529,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"101","2013-11-21","2013-11",NA,NA,529,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"102","2013-11-22","2013-11",NA,NA,530,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"103","2013-11-23","2013-11",NA,NA,531,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"104","2013-11-24","2013-11",NA,NA,533,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"105","2013-11-25","2013-11",NA,NA,531,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"106","2013-11-26","2013-11",NA,NA,535,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"107","2013-11-27","2013-11",NA,NA,536,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"108","2013-11-28","2013-11",NA,NA,541,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"109","2013-11-29","2013-11",NA,NA,541,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"110","2013-11-30","2013-11",NA,NA,541,"137,304","115,461",869,"5,963","12,079","5,681.30","15,212.30","4,529.80",552.2,"2,724","7,910","18,801","21,194","14,432","5,513","21,843","2,746","5,056","14,041"
"111","2013-12-01","2013-12",NA,NA,541,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"112","2013-12-02","2013-12",NA,NA,541,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"113","2013-12-03","2013-12",NA,NA,541,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"114","2013-12-04","2013-12",NA,NA,542,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"115","2013-12-05","2013-12",NA,NA,543,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"116","2013-12-06","2013-12",NA,NA,543,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"117","2013-12-07","2013-12",NA,NA,544,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"118","2013-12-08","2013-12",NA,NA,544,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"119","2013-12-09","2013-12",NA,NA,543,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"120","2013-12-10","2013-12",NA,NA,544,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"121","2013-12-11","2013-12",NA,NA,547,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"122","2013-12-12","2013-12",NA,NA,548,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"123","2013-12-13","2013-12",NA,NA,547,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"124","2013-12-14","2013-12",NA,NA,549,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"125","2013-12-15","2013-12",NA,NA,551,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"126","2013-12-16","2013-12",NA,NA,552,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"127","2013-12-17","2013-12",NA,NA,556,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"128","2013-12-18","2013-12",NA,NA,556,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
"129","2013-12-19","2013-12",NA,NA,557,"137,373","115,553",866,"5,932","12,083","5,687.10","15,287.70","4,541.20",550.5,"2,726","7,914","18,790","21,196","14,454","5,525","21,820","2,741","5,053","14,026"
